"genus","name","lat","lon"
"oryza","brachyantha",-8.589,29.9716
"oryza","brachyantha",-10.12,31.2
"oryza","brachyantha",-11.166,29.533
"oryza","brachyantha",-11.25,29.516
"oryza","brachyantha",-9.466,28.816
"oryza","brachyantha",-9.416,28.733
"oryza","brachyantha",-8.6,30.00166
"oryza","brachyantha",-8.95,31.366
"oryza","brachyantha",-4.916,29.816
"oryza","brachyantha",-3.966,30.566
"oryza","eichingeri",-7.3166,37.1
"oryza","eichingeri",-4.966,38.75
"oryza","eichingeri",1.783,31.666
"oryza","eichingeri",1.333,31.833
"oryza","eichingeri",0.9166,31.6
"oryza","eichingeri",0.833,30.833
"oryza","eichingeri",0.8,30.15
"oryza","eichingeri",0.8083,30.15
"oryza","eichingeri",0.8,30.156
"oryza","eichingeri",0.8,30.153
"oryza","eichingeri",0.7166,30.666
"oryza","eichingeri",1.9333,31.733
"oryza","eichingeri",0.5,32.93
"oryza","eichingeri",0.5166,33.5
"oryza","eichingeri",-0.533,29.883
"oryza","eichingeri",-0.9166,31.6
"oryza","eichingeri",1.6583,31.583
"oryza","eichingeri",1.333,31.833
"oryza","eichingeri",0.8333,30.1
"oryza","eichingeri",0.2,32.55
"oryza","eichingeri",0.6583,30.15
"oryza","eichingeri",3.088,31.65
"oryza","eichingeri",3.0833,31.65
"oryza","eichingeri",1.7833,31.583
"oryza","eichingeri",-6.909,39.098
"oryza","eichingeri",-7.4,37.083
"oryza","eichingeri",1.7166,31.666
"oryza","eichingeri",0.4,33.033
"oryza","eichingeri",-0.9,31.616
"oryza","eichingeri",-0.9,31.583
"oryza","eichingeri",-4.566,39.166
"oryza","eichingeri",-3.283,39.966
"oryza","eichingeri",-4.433,39.216
"oryza","eichingeri",-1.95,40.13
"oryza","eichingeri",-4.566,39.166
"oryza","eichingeri",-4.433,39.2166
"oryza","eichingeri",-1.957,40.138
"oryza","eichingeri",-0.6333,35
"oryza","eichingeri",-6.783,35.833
"oryza","eichingeri",-6.15,37.583
"oryza","eichingeri",-6.9166,37.833
"oryza","eichingeri",-1,31.8333
"oryza","eichingeri",-8.5,38.583
"oryza","eichingeri",-6.8666,37.6083
"oryza","eichingeri",-6.15,37.583
"oryza","eichingeri",-7.783,37.6083
"oryza","eichingeri",-6.233,39.341
"oryza","eichingeri",-5.216,38.683
"oryza","eichingeri",-5.1,38.65
"oryza","eichingeri",-1,31.8333
"oryza","eichingeri",-5.0333,38.433
"oryza","eichingeri",-6.9166,39.333
"oryza","eichingeri",0.516,33.5
"oryza","eichingeri",0.833,30.833
"oryza","eichingeri",0.5,30.5
"oryza","eichingeri",0.5133,30.5
"oryza","eichingeri",0.833,30.1
"oryza","eichingeri",0.5166,33.5
"oryza","eichingeri",0.2,32.55
"oryza","eichingeri",0.775,30.15
"oryza","eichingeri",0.966,31.541
"oryza","eichingeri",1.783,31.933
"oryza","eichingeri",1.783,31.75
"oryza","eichingeri",0.5166,33.5
"oryza","eichingeri",0.5,32.95
"oryza","eichingeri",3.0871,31.65
"oryza","barthii",-15.333,16.7266
"oryza","barthii",-15.65,15.81
"oryza","barthii",-18.718,23.7741
"oryza","barthii",-19.2841,23.7025
"oryza","barthii",-15.166,35.3
"oryza","barthii",-16.4723,39.7055
"oryza","barthii",-7.65,34.9166
"oryza","barthii",-5.6166,34.0583
"oryza","barthii",-5.3833,34.7666
"oryza","barthii",-4.7833,34.75
"oryza","barthii",-5.333,34
"oryza","barthii",-5.56666,34.2
"oryza","barthii",-6.8333,36.9833
"oryza","barthii",-7.5833,34.5
"oryza","barthii",-7.65,34.9166
"oryza","barthii",-7.5833,34.5
"oryza","barthii",-5.73333,34.833
"oryza","barthii",-8.433,32.483
"oryza","barthii",2.71666,34.25
"oryza","barthii",-13.0666,31.783
"oryza","barthii",-14.05,34.5
"oryza","barthii",-9.95,33.81666
"oryza","barthii",-9.8,33.85
"oryza","barthii",-9.9,33.9166
"oryza","barthii",-10.0166,33.93
"oryza","barthii",-10.4833,34.1833
"oryza","barthii",-10.3166,34.166
"oryza","barthii",-11.08333,33.9
"oryza","barthii",-9.6833,33.266
"oryza","barthii",-14.65,35.166
"oryza","barthii",-14.8666,35.166
"oryza","barthii",-12.96666,34.3
"oryza","barthii",-13.216,34.3
"oryza","barthii",-13.3666,34.25
"oryza","barthii",-13.8166,34.4333
"oryza","barthii",-13.666,34.583
"oryza","barthii",-15.1166,35.5333
"oryza","barthii",-15.8166,35.76666
"oryza","barthii",-15.93,35.76666
"oryza","barthii",-12.65,34.15
"oryza","barthii",-12.566,34.1333
"oryza","barthii",-14.9,35.233
"oryza","barthii",-14.7166,35.15
"oryza","barthii",-14.283,34.533
"oryza","barthii",-15.0666,35.283
"oryza","barthii",-13.08333,34.21666
"oryza","barthii",-13.75,34.566
"oryza","barthii",-15.18333,35.466
"oryza","barthii",-15.08333,35.5166
"oryza","barthii",-13.75,32.83333
"oryza","barthii",-13.666,33.266
"oryza","barthii",-16.15,34.9166
"oryza","barthii",-15.8666,35.75
"oryza","barthii",-15.783,35.75
"oryza","barthii",-15.166,35.5
"oryza","barthii",-16.15,34.9166
"oryza","barthii",-15.05,35.2
"oryza","barthii",-6.161,37.7246
"oryza","barthii",-6.8988,37.5641
"oryza","barthii",-4.98333,38.3
"oryza","barthii",-8.1833,34.783
"oryza","barthii",-5.8833,35.1833
"oryza","barthii",-5.566,34.05
"oryza","barthii",-8.7,34.3833
"oryza","barthii",-5.566,34.5
"oryza","barthii",-7.3333,34.5
"oryza","barthii",-5.5,34.75
"oryza","barthii",-6.6666,34.5
"oryza","barthii",-4.5,34.75
"oryza","barthii",-4.9166,29.81666
"oryza","barthii",-5.0833,29.81666
"oryza","barthii",-8.6,30.0016
"oryza","barthii",-13.1,31.7166
"oryza","barthii",-13.0666,31.783
"oryza","barthii",-17.6635,27.4968
"oryza","barthii",-18.1861,29.63
"oryza","punctata",-4.78,12.545
"oryza","punctata",-7.2356,12.8743
"oryza","punctata",-4.185,39.5196
"oryza","punctata",-3.8666,39.4666
"oryza","punctata",-3.8666,39.5833
"oryza","punctata",-3.8683,39.4705
"oryza","punctata",-3.7666,39.266
"oryza","punctata",-4.3,39.416
"oryza","punctata",-4.166,39.45
"oryza","punctata",-1.6245,41.3833
"oryza","punctata",-1.5166,41.35
"oryza","punctata",-3.76,39.3743
"oryza","punctata",-3.7355,39.3066
"oryza","punctata",-3.5,39.5
"oryza","punctata",-1.666,41.166
"oryza","punctata",-3.9,39.433
"oryza","punctata",-3.8703,39.4415
"oryza","punctata",-3.85,39.4978
"oryza","punctata",-3.8238,39.5825
"oryza","punctata",-3.9088,39.5955
"oryza","punctata",-4.5506,39.1756
"oryza","punctata",-4.6023,39.1688
"oryza","punctata",-4.2163,39.5541
"oryza","punctata",-4.1863,39.4701
"oryza","punctata",-4.181,39.4191
"oryza","punctata",-4.1691,39.5808
"oryza","punctata",-3.0656,40.139
"oryza","punctata",-2.324,40.112
"oryza","punctata",-2.442,40.1731
"oryza","punctata",-2.51,40.296
"oryza","punctata",-4.1596,39.5846
"oryza","punctata",-16.25,34.583
"oryza","punctata",-16.2413,34.592
"oryza","punctata",-16.2333,34.589
"oryza","punctata",-18.7666,34.233
"oryza","punctata",-18.75,34.333
"oryza","punctata",-18.7666,34.2383
"oryza","punctata",-9.085,35.6421
"oryza","punctata",-7.6,34.833
"oryza","punctata",-7.7,34.4833
"oryza","punctata",-9.1866,35.6421
"oryza","punctata",-7.65,34.9166
"oryza","punctata",-7.4333,37.1166
"oryza","punctata",-7.3166,37.1
"oryza","punctata",-6.75,37.3333
"oryza","punctata",-7,37.25
"oryza","punctata",-7.333,37.83333
"oryza","punctata",-7.166,37.83333
"oryza","punctata",-8.25,38.3666
"oryza","punctata",-5.533,38.75
"oryza","punctata",-5.1666,39.8
"oryza","punctata",-4.82,34.25
"oryza","punctata",-8.5833,38.45
"oryza","punctata",-7.2713,38.72
"oryza","punctata",-6.7716,39.2736
"oryza","punctata",-7.3166,37.1
"oryza","punctata",-6.955,36.3666
"oryza","punctata",-7.45,31.483
"oryza","punctata",-8.4666,38.55
"oryza","punctata",-4.975,35.9166
"oryza","punctata",-7.7548,34.8
"oryza","punctata",-7.7166,34.933
"oryza","punctata",-5.783,38.85
"oryza","punctata",-6.75,37.333
"oryza","punctata",-8.5,38.5
"oryza","punctata",-2.9666,33.333
